model,penalty_rate,nRMSE,optimality_gap
"Proposed(W1=10,W2=1)",0.7,130.8028812868906,29.883251494392645
"Proposed(W1=20,W2=1)",0.7,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=0)",0.8,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=1)",0.8,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=2)",0.8,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=5)",0.8,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=10)",0.8,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=20)",0.8,130.8028812868906,29.883251494392645
"Proposed(W1=2,W2=1)",0.8,130.8028812868906,29.883251494392645
"Proposed(W1=5,W2=1)",0.8,130.8028812868906,29.883251494392645
"Proposed(W1=10,W2=1)",0.8,130.8028812868906,29.883251494392645
"Proposed(W1=20,W2=1)",0.8,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=0)",0.9,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=1)",0.9,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=2)",0.9,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=5)",0.9,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=10)",0.9,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=20)",0.9,130.8028812868906,29.883251494392645
"Proposed(W1=2,W2=1)",0.9,130.8028812868906,29.883251494392645
"Proposed(W1=5,W2=1)",0.9,130.8028812868906,29.883251494392645
"Proposed(W1=10,W2=1)",0.9,130.8028812868906,29.883251494392645
"Proposed(W1=20,W2=1)",0.9,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=0)",1.0,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=1)",1.0,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=2)",1.0,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=5)",1.0,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=10)",1.0,130.8028812868906,29.883251494392645
"Proposed(W1=1,W2=20)",1.0,130.8028812868906,29.883251494392645
"Proposed(W1=2,W2=1)",1.0,130.8028812868906,29.883251494392645
"Proposed(W1=5,W2=1)",1.0,130.8028812868906,29.883251494392645
"Proposed(W1=10,W2=1)",1.0,130.8028812868906,29.883251494392645
"Proposed(W1=20,W2=1)",1.0,130.8028812868906,29.883251494392645
